company,product_name,link_href,product_category,price
hillyard,"Hillyard,  Carpet Spotter,  32 Fl Oz Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Carpet-Spotter/p/HIL0091004,Spot remover,200
hillyard,"Hillyard,  Ziz-O® Paste  Multi-Purpose Cleaner,  1 Lb Tub",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/General-Cleaners/Hillyard%2C-Ziz-O%C2%AE-Paste-Multi-Purpose-Cleaner/p/HIL00090,"Cleaner, Protectant, Spot remover",260
hillyard,"Hillyard, Arsenal® Carpet Spotter, Arsenal® One Dispenser 2.5 Liter Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Arsenal%C2%AE-Carpet-Spotter/p/HIL0081525,Spot remover,199
hillyard,"Hillyard,  Defoamer Ii,  32 Fl Oz Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Defoamer-Ii/p/HIL0018304,Cleaner,117
hillyard,"Hillyard,  Spray Clean Hd Multi-Purpose Cleaner,  1 Gal Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/General-Cleaners/Hillyard%2C-Spray-Clean-Hd-Multi-Purpose-Cleaner/p/HIL0011906,"Cleaner, Protectant, Spot remover",117
hillyard,"Hillyard,  Citrus-Scrub® Multi-Purpose Cleaner,  30 Gal Drum",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/General-Cleaners/Hillyard%2C-Citrus-Scrub%C2%AE-Multi-Purpose-Cleaner/p/HIL0014328,"Cleaner, Protectant",117
hillyard,"Hillyard,  Citrus-Scrub® Multi-Purpose Cleaner,  55 Gal Drum",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/General-Cleaners/Hillyard%2C-Citrus-Scrub%C2%AE-Multi-Purpose-Cleaner/p/HIL0014309,"Cleaner, Protectant",850
hillyard,"Hillyard,  Citrus-Scrub® Multi-Purpose Cleaner,  5 Gal Pail",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/General-Cleaners/Hillyard%2C-Citrus-Scrub%C2%AE-Multi-Purpose-Cleaner/p/HIL0014307,"Cleaner, Protectant",139
hillyard,"Hillyard,  Suprox® Concentrate Multi-Purpose Cleaner,  15 Gal Drum",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/General-Cleaners/Hillyard%2C-Suprox%C2%AE-Concentrate-Multi-Purpose-Cleaner/p/HIL0011015,"Cleaner, Protectant",80
hillyard,"Hillyard,  Suprox® Concentrate Multi-Purpose Cleaner,  55 Gal Drum",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/General-Cleaners/Hillyard%2C-Suprox%C2%AE-Concentrate-Multi-Purpose-Cleaner/p/HIL0011009,"Cleaner, Protectant",179
